"A020_A021","A020_A022","A020_A023","A020_A024","A020_A025","A020_A026","A020_A027","A020_A028","A020_A029","A020_A030","A040_A041","A040_A042","A040_A043","A040_A044","A040_A045","A040_A046","A040_A047","A040_A048","A040_A049","A040_A050"
1,1,1,5,3,2,3,4,5,4,2,2,3,4,5,5,5,5,5,5
3,3,3,3,5,4,4,4,5,4,5,5,5,4,4,3,3,5,4,5
5,4,4,5,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5
2,2,3,3,5,4,4,2,4,5,5,5,5,4,5,5,5,3,4,5
1,2,2,2,4,4,3,5,5,4,3,4,5,5,5,4,4,3,3,3
4,4,3,4,5,4,3,5,4,4,2,2,2,2,2,5,5,2,5,2
3,3,4,4,4,4,2,4,4,3,5,4,5,5,5,5,4,4,4,4
3,4,3,4,4,3,3,4,3,3,5,5,5,5,5,5,5,5,5,5
3,4,4,4,4,4,3,3,5,3,2,2,2,4,2,4,2,4,4,4
3,2,3,5,4,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5
3,4,4,4,4,4,3,5,4,3,3,4,5,3,4,3,3,5,5,5
4,3,3,3,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,4
2,3,3,2,4,5,4,4,5,4,3,4,5,3,5,5,5,5,5,5
4,4,4,3,5,5,3,5,5,3,4,4,5,5,4,5,5,4,3,3
2,1,1,2,4,4,2,4,4,4,5,5,4,5,5,5,5,4,5,4
5,4,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5
1,1,1,3,4,3,3,3,5,5,2,2,3,4,5,5,4,5,5,5
3,3,3,4,4,3,2,2,3,2,5,5,5,5,5,5,5,5,5,5
2,2,2,2,5,5,5,4,4,3,2,2,2,5,5,5,5,5,5,5
4,3,4,5,5,4,3,3,4,2,4,5,4,3,3,5,5,5,3,4
1,1,1,2,4,4,1,4,3,2,3,3,3,4,5,4,4,4,4,4
4,3,2,4,5,5,4,5,5,5,2,2,4,4,4,2,4,5,5,5
2,1,2,3,4,4,3,4,5,5,5,5,5,3,3,5,1,5,5,5
2,3,4,4,3,3,3,4,5,5,4,2,2,2,3,3,4,2,1,2
2,2,2,1,4,3,3,2,2,3,1,1,1,1,4,4,4,1,2,2
4,4,5,5,5,4,4,2,5,2,5,5,5,5,5,5,5,5,4,5
3,4,4,5,5,5,5,4,5,5,5,5,4,5,3,4,3,4,4,4
5,5,5,4,5,4,3,3,2,4,2,2,2,4,2,3,4,4,5,3
1,1,1,1,4,4,4,3,3,2,5,5,5,5,5,5,5,5,5,5
4,4,5,5,4,4,4,5,5,1,3,3,3,4,4,3,3,4,5,5
3,3,3,4,5,3,4,3,2,4,5,5,5,5,5,5,5,5,5,5
2,2,1,2,3,3,1,4,3,4,4,4,4,4,4,5,5,5,5,5
4,4,4,4,5,5,4,4,5,4,3,3,5,4,3,4,5,5,4,4
5,5,5,5,4,4,4,3,3,3,1,1,1,3,3,4,4,4,4,4
4,2,3,3,4,4,3,4,5,4,3,3,3,3,4,4,4,3,3,3
4,3,4,2,5,3,3,5,5,3,3,5,4,4,2,3,3,1,2,4
3,3,3,4,5,4,3,3,5,4,4,4,4,4,5,5,5,4,2,2
4,4,3,4,5,4,3,3,3,4,3,4,4,3,4,4,4,4,4,3
2,3,2,5,4,2,2,3,3,2,5,5,5,5,5,5,5,5,5,5
2,2,2,3,4,4,1,4,3,2,3,3,2,3,4,5,3,5,5,5
1,1,1,1,3,3,2,3,4,3,2,3,4,4,3,3,4,5,4,3
4,3,4,4,4,3,2,4,4,3,5,4,5,5,5,5,4,5,5,5
1,2,3,3,3,3,1,2,4,4,4,4,5,4,4,4,3,5,5,5
1,1,2,4,5,3,4,5,4,4,4,4,4,5,5,5,5,4,5,5
4,3,3,5,4,4,3,3,5,3,5,4,4,4,4,4,4,5,5,4
1,1,1,5,5,4,3,3,5,4,4,3,3,3,5,5,5,2,5,5
4,4,3,4,4,4,5,5,4,3,4,4,4,4,5,4,3,3,5,5
5,5,5,4,5,4,4,5,4,4,1,1,1,2,1,2,2,1,2,2
3,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,4,4
3,3,2,3,5,5,4,5,4,4,4,4,4,3,2,4,3,3,3,3
1,1,1,3,4,5,3,3,4,2,2,2,2,2,5,5,3,5,3,5
2,2,2,1,4,3,2,2,3,3,4,3,3,3,4,4,4,4,4,3
3,1,2,3,4,4,3,4,3,4,5,4,4,5,3,4,3,4,5,5
3,3,3,5,4,3,2,4,4,3,2,2,2,5,3,4,3,5,4,3
2,2,2,4,4,4,3,3,4,3,4,4,4,3,3,3,2,4,4,4
4,4,2,3,5,3,3,2,3,2,5,5,5,5,5,5,5,5,5,5
4,4,4,3,4,3,3,4,5,3,5,5,4,5,4,5,4,5,2,4
3,2,3,3,4,3,3,4,4,2,5,5,5,5,5,5,5,5,5,5
3,4,3,4,4,4,3,3,4,3,4,3,3,3,4,4,4,4,5,5
2,2,3,4,4,3,2,1,5,5,4,4,5,5,4,5,3,5,5,5
2,3,3,4,3,4,4,3,4,3,4,5,5,5,3,3,3,4,5,5
3,4,4,2,4,4,3,4,5,5,4,3,3,4,3,4,4,4,3,4
4,3,3,1,5,5,5,5,5,5,3,3,3,3,5,5,5,5,5,5
4,4,4,4,5,4,3,3,4,2,2,3,5,5,4,3,3,4,4,5
5,4,5,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5
2,3,3,4,4,4,4,5,4,5,4,4,3,2,3,4,4,2,2,3
2,2,3,3,4,3,2,4,4,3,5,5,5,5,5,5,4,4,2,5
4,4,4,5,5,4,3,3,3,3,1,1,1,2,1,4,4,5,5,5
3,4,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5
2,3,2,3,5,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4
3,3,4,4,4,4,3,5,5,5,4,4,4,5,4,4,4,5,5,5
3,3,2,3,4,3,2,1,3,2,4,4,5,5,4,5,5,3,4,5
2,3,4,3,5,4,4,4,3,3,3,4,4,4,3,2,4,3,2,4
2,3,2,2,4,4,4,2,3,3,5,5,3,3,5,5,5,5,5,5
4,4,3,3,5,4,3,5,4,5,5,5,5,5,5,4,4,5,5,4
2,2,2,3,4,3,2,5,3,2,3,1,2,2,4,5,4,5,5,5
2,2,2,2,4,4,4,3,4,3,2,2,2,1,2,3,2,3,5,5
1,1,1,4,2,2,2,2,4,4,4,4,4,4,5,5,5,5,5,5
3,2,3,4,5,4,4,5,5,3,4,3,4,5,4,4,5,5,4,5
1,1,1,2,3,3,1,2,3,3,5,4,3,3,5,4,4,4,4,5
3,4,5,4,3,5,3,5,5,5,2,4,4,4,2,4,3,4,4,4
3,3,3,4,5,5,4,5,5,5,2,2,3,3,5,5,5,5,5,5
2,2,1,2,3,3,3,3,4,4,5,5,4,4,5,5,5,4,4,4
2,2,2,3,5,5,3,3,4,5,3,3,3,3,1,1,5,5,2,2
4,4,3,4,5,4,4,3,5,5,5,5,5,5,5,5,4,4,5,5
2,1,1,2,4,3,2,1,5,5,5,4,4,3,5,5,5,5,3,3
3,3,2,4,5,4,2,2,5,4,4,4,3,4,4,3,3,4,5,5
3,4,3,3,5,4,4,5,5,5,5,5,5,5,4,4,3,5,5,4
2,2,2,3,4,4,4,4,4,4,4,4,4,4,5,5,5,4,5,5
4,4,4,3,5,5,4,5,4,4,3,3,2,1,3,3,3,4,4,5
1,1,1,2,4,4,4,4,4,3,1,1,1,1,1,3,3,3,4,4
4,5,4,3,5,5,4,5,4,3,5,5,5,1,5,5,4,5,5,5
3,2,2,3,4,4,2,2,3,1,5,5,5,4,5,5,5,5,4,5
2,3,2,3,4,4,3,5,5,4,4,4,4,4,4,3,2,5,5,5
3,2,3,1,5,4,4,3,4,5,5,4,4,2,5,5,5,4,5,4
3,3,2,5,4,4,5,4,5,4,5,4,4,5,4,4,3,4,4,5
4,3,2,3,4,3,3,2,3,3,5,5,5,2,4,4,4,4,4,5
1,1,1,3,4,4,3,5,5,4,3,3,3,4,5,5,5,5,5,5
1,2,2,2,3,2,2,1,3,2,3,3,5,5,4,5,5,3,4,5
3,3,3,3,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4
3,4,2,2,5,5,2,5,4,5,4,3,5,5,2,2,4,2,3,2
1,1,1,1,4,4,4,2,4,3,2,2,2,2,3,3,3,3,3,4
5,4,4,2,5,5,3,5,5,3,2,2,5,3,2,2,2,4,4,4
3,2,2,2,3,3,2,1,2,2,4,3,3,3,4,4,3,3,4,3
1,1,1,1,4,4,3,3,4,4,3,3,3,4,4,4,4,4,4,4
2,2,3,5,4,4,3,5,5,3,5,5,5,3,4,2,4,2,2,2
1,1,1,1,5,4,3,2,3,2,5,5,5,2,5,5,4,2,5,5
2,3,4,3,4,3,3,4,3,3,2,5,5,4,2,2,4,3,3,4
3,2,2,1,3,3,2,5,4,4,4,3,3,4,3,3,3,5,5,4
4,3,2,4,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,4
3,3,3,4,5,4,3,5,5,5,5,5,5,2,4,4,5,3,2,1
3,4,2,4,4,5,3,4,4,4,4,4,5,2,3,2,2,4,2,2
3,3,3,4,4,5,3,5,5,5,4,5,4,4,4,5,5,5,5,5
2,2,2,3,4,4,4,5,5,5,4,4,4,4,5,4,4,3,3,2
4,4,4,5,4,4,3,5,3,3,4,4,4,4,5,5,4,3,5,5
4,3,4,4,4,3,4,3,3,2,5,4,5,5,5,5,5,5,5,5
2,2,2,3,3,4,3,5,4,3,3,3,4,4,5,5,5,5,5,5
4,4,5,3,4,4,3,3,4,3,5,5,5,5,5,5,5,5,5,5
1,1,1,2,3,4,2,4,5,4,1,1,1,2,3,4,2,4,5,5
4,3,4,4,4,4,3,2,5,4,4,4,5,5,3,5,4,5,5,5
3,3,3,3,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5
1,2,1,2,3,3,2,4,4,5,4,3,3,5,4,5,4,4,4,5
1,1,1,1,4,4,3,5,5,5,2,2,4,3,4,4,2,5,5,5
4,5,4,4,4,4,4,5,5,3,3,3,3,3,5,4,4,3,3,5
5,4,3,3,5,5,4,2,3,4,5,5,5,5,5,5,5,5,5,4
2,3,3,1,5,4,4,5,5,5,5,5,5,3,5,5,5,5,5,5
4,4,3,5,5,5,5,2,2,3,5,5,5,5,5,5,5,4,5,5
3,2,2,3,4,4,4,4,5,4,4,4,5,5,5,5,4,5,5,5
4,4,3,4,5,3,3,3,4,3,3,5,5,5,3,3,4,5,5,5
5,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5
2,2,2,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
2,2,3,3,3,4,3,2,4,3,4,4,5,3,5,5,4,4,5,3
3,3,3,4,4,5,2,2,5,5,4,4,5,5,5,5,5,5,5,5
3,3,4,5,5,5,4,5,5,5,2,3,3,2,4,3,3,3,3,3
3,3,3,4,5,4,4,4,4,4,2,3,4,5,3,3,4,4,4,5
2,2,1,1,3,4,4,4,2,3,4,4,4,5,5,5,5,5,5,3
1,1,2,2,3,3,2,3,4,3,2,2,2,2,4,4,3,3,4,4
3,3,4,5,4,4,4,5,5,5,5,5,5,5,4,3,3,3,3,3
4,3,3,5,5,5,3,4,4,3,4,4,4,5,4,5,5,5,5,4
1,1,1,1,4,3,3,5,5,5,5,5,5,4,3,2,2,2,2,1
2,2,2,2,4,3,2,2,5,4,1,1,1,3,1,1,1,3,4,3
2,2,2,1,4,4,5,4,5,4,5,4,5,5,4,5,4,5,4,4
4,5,4,5,4,3,2,4,4,4,5,3,3,3,5,5,5,2,1,5
2,2,3,3,4,4,3,3,4,3,5,5,5,4,5,5,4,4,5,5
3,2,3,2,4,4,4,3,4,3,5,4,5,5,4,4,4,5,5,5
2,2,2,2,5,4,5,4,4,3,3,4,3,2,5,5,5,5,5,5
2,2,2,3,4,5,3,5,5,3,5,5,5,5,3,2,4,4,4,5
2,2,2,3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5
4,3,3,4,5,5,4,4,4,4,4,4,4,4,3,3,3,4,5,5
3,2,2,2,4,2,2,3,4,3,4,3,5,3,4,4,3,5,4,4
4,3,4,4,4,5,4,4,5,3,4,2,3,3,3,3,3,3,2,4
2,3,3,2,4,2,1,3,4,4,5,5,5,4,5,5,3,3,5,3
3,2,2,2,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
3,2,3,3,5,4,3,3,4,3,2,2,2,4,3,4,4,4,5,5
3,4,4,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5
3,3,3,3,4,4,3,4,4,4,4,4,4,4,3,3,3,4,4,4
3,3,3,5,4,4,4,5,5,5,4,4,5,5,4,5,4,5,5,5
1,1,1,3,4,4,5,5,5,5,5,1,3,3,5,5,5,5,5,5
2,4,3,5,4,4,3,5,5,4,3,5,5,5,4,4,3,5,5,5
2,2,2,4,5,5,3,4,4,3,5,3,3,4,4,4,5,5,4,4
3,3,3,4,4,4,2,3,4,5,4,4,4,3,5,5,4,5,4,5
4,3,4,1,5,4,4,4,4,3,5,5,5,5,5,5,5,5,5,5
3,3,2,3,4,3,3,5,4,3,4,3,2,1,4,5,4,3,4,5
5,5,5,5,5,5,3,5,5,3,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,3,3,5,5,3,5,5,4,3,4,3,3,4,5
3,3,3,4,4,3,2,3,4,3,4,4,4,5,4,4,4,5,5,5
3,3,3,3,5,4,3,4,5,5,4,4,4,4,5,5,4,5,5,5
3,3,4,4,4,4,2,4,5,4,2,4,5,4,4,5,4,5,5,5
5,4,4,4,4,4,3,1,4,5,4,4,4,4,4,4,4,4,4,4
1,1,1,2,3,4,2,5,5,4,1,2,3,2,2,3,3,5,5,5
4,4,4,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
3,3,4,4,4,5,4,4,5,3,4,4,5,5,4,4,4,4,5,5
3,4,3,4,4,4,3,3,5,3,4,4,5,4,4,4,3,4,5,5
3,4,4,5,4,2,2,5,5,4,5,5,5,5,4,4,2,5,5,5
3,3,3,2,4,4,4,3,4,4,4,4,4,4,5,5,5,5,5,5
2,2,2,3,3,3,2,3,4,3,4,4,5,5,4,4,3,5,3,5
2,2,4,3,4,5,4,5,5,3,4,4,4,5,5,5,3,5,5,5
3,3,3,3,4,3,3,4,5,4,4,4,4,5,3,3,3,2,5,5
3,3,4,5,5,4,3,4,5,4,4,4,5,5,4,4,3,3,5,5
4,3,2,2,5,4,4,4,5,5,4,4,5,3,3,4,4,5,2,2
2,4,4,4,4,5,2,3,4,2,3,3,4,5,5,5,3,4,5,4
3,4,3,3,4,4,4,3,3,3,5,3,3,3,3,3,4,3,4,5
1,1,1,3,4,3,1,1,2,3,1,5,5,3,1,5,3,5,5,5
4,4,4,3,4,3,2,4,2,2,5,5,5,3,5,5,5,5,4,4
2,2,3,3,4,3,2,4,4,3,4,5,5,5,3,4,2,5,5,5
4,3,4,2,4,3,3,1,4,5,4,3,4,3,3,3,3,2,4,4
2,2,4,5,5,3,2,5,5,2,2,4,4,3,5,5,5,5,5,5
3,2,3,2,4,3,2,3,3,2,5,5,5,5,5,5,5,5,5,5
3,3,4,4,5,5,4,5,4,4,5,4,4,5,5,5,4,5,5,5
1,1,1,1,5,4,3,5,4,3,4,3,3,4,4,4,3,4,4,3
2,2,2,1,4,4,4,5,4,3,4,5,5,3,3,3,4,5,4,4
1,1,2,4,4,3,3,5,5,3,2,3,3,4,3,4,3,4,4,4
4,4,3,3,5,4,3,3,3,4,5,5,5,5,5,5,4,5,5,5
4,4,3,3,3,3,1,3,3,3,5,5,5,5,5,5,4,4,5,5
3,3,4,5,5,5,3,3,4,4,5,5,5,5,5,4,4,4,5,5
3,4,4,5,4,4,4,4,3,2,4,4,3,5,4,4,4,4,4,4
3,4,4,4,4,4,2,5,4,2,3,3,3,4,5,5,5,4,5,5
3,4,3,4,4,2,3,4,4,3,4,4,5,3,3,4,2,3,4,5
4,4,5,5,4,5,3,4,3,3,3,3,3,4,5,2,4,3,5,5
2,2,3,3,4,4,3,4,5,4,4,4,4,4,5,5,3,5,5,4
3,3,4,4,4,4,3,4,5,5,4,4,4,4,4,4,4,4,5,5
4,3,4,5,4,3,2,5,5,5,3,3,4,3,4,3,2,3,4,4
4,1,3,3,4,4,4,5,5,5,2,2,3,3,4,3,4,5,5,5
4,4,3,3,5,5,3,4,3,3,4,4,4,4,3,4,4,4,5,5
1,1,2,4,4,3,3,3,4,2,3,3,4,4,4,4,4,4,4,5
3,3,3,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5
4,4,4,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5
2,2,2,2,4,4,3,4,5,3,3,3,4,3,3,4,3,5,5,4
3,3,3,1,5,5,1,1,3,3,5,5,5,5,5,5,5,5,5,5
2,2,2,2,4,4,3,3,5,3,5,5,5,5,5,4,5,4,5,5
1,1,3,4,5,4,2,3,4,4,3,3,3,3,3,3,3,5,5,5
4,4,4,3,4,5,3,4,4,2,5,5,5,5,5,5,5,5,5,5
5,5,4,5,5,5,4,4,4,4,5,5,5,5,5,5,3,5,5,4
2,2,2,3,4,4,3,4,5,5,4,4,5,3,3,3,3,3,3,3
5,5,5,5,5,3,3,4,4,2,5,5,5,5,5,5,5,5,5,5
4,4,4,4,5,5,4,5,5,5,5,5,5,5,3,3,3,3,3,3
4,4,4,3,5,4,4,5,5,5,5,5,5,4,5,5,5,5,4,4
3,2,3,4,4,3,3,3,4,4,5,4,5,5,4,4,4,5,5,5
4,4,4,4,4,3,4,2,4,3,5,5,5,5,4,5,5,4,5,5
4,4,4,5,4,4,4,4,4,4,5,3,3,3,3,4,3,3,3,3
5,4,4,4,2,3,2,1,3,4,1,1,2,5,2,3,2,3,2,4
3,2,2,3,4,3,3,2,4,3,4,4,5,5,4,5,5,5,5,5
3,3,2,1,5,5,5,5,4,3,5,5,5,5,5,5,5,5,5,5
4,4,4,4,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5
4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5
3,3,2,3,5,4,3,4,4,4,5,5,5,5,4,5,4,4,4,4
4,4,4,4,4,4,3,3,3,3,5,5,5,5,5,5,4,4,5,5
4,4,4,4,5,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3
2,2,2,4,4,3,3,3,4,4,4,3,3,3,3,5,3,3,3,3
1,1,1,2,3,3,1,2,2,2,3,3,3,5,5,5,4,5,5,3
3,3,2,2,4,5,3,5,5,4,4,4,4,5,5,4,3,4,5,5
2,3,4,5,5,5,3,4,5,5,2,3,4,5,5,5,3,4,5,5
3,3,4,5,5,5,3,4,4,4,3,3,5,1,4,1,3,2,3,2
2,2,2,4,4,4,3,4,5,2,4,4,4,5,5,5,5,5,5,5
4,4,4,5,5,5,4,5,5,4,5,5,5,5,4,3,3,3,5,5
4,4,5,4,4,4,3,4,4,3,5,5,5,5,5,5,5,5,5,5
3,4,4,4,4,5,3,5,5,3,3,5,5,4,2,5,3,5,4,4
4,3,4,5,4,5,5,5,5,5,5,5,5,4,4,5,4,4,5,5
3,3,3,2,4,3,3,4,2,4,3,3,4,5,5,3,5,5,4,4
3,3,3,3,5,5,2,5,5,3,4,4,4,4,4,4,2,5,5,5
5,5,5,5,3,4,3,2,5,4,4,4,4,4,4,4,4,3,4,5
3,2,1,2,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5
2,4,3,2,4,4,4,3,5,3,5,5,5,5,5,5,5,5,5,5
2,2,2,2,2,3,3,3,3,3,2,2,2,3,5,5,5,4,5,4
2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
3,4,3,4,4,4,3,4,5,3,4,4,4,5,5,5,5,4,4,4
3,3,3,3,4,3,3,4,4,4,5,5,5,5,2,3,3,4,4,4
4,5,4,5,4,3,2,5,5,2,4,5,5,4,5,5,4,5,4,5
2,3,4,5,5,5,5,5,5,4,3,2,4,5,5,5,5,5,5,5
3,1,1,2,3,3,4,4,5,4,2,2,2,5,4,4,4,4,5,4
2,2,2,3,4,2,3,4,4,3,4,4,4,4,5,5,5,5,5,5
1,1,1,2,4,4,3,5,5,4,4,4,4,4,4,4,4,5,5,5
1,1,1,3,4,3,2,4,5,4,5,5,5,5,2,4,3,5,3,5
2,2,2,4,4,4,1,4,4,3,1,1,1,5,2,3,2,3,3,3
1,2,3,2,5,4,2,3,5,5,4,4,4,3,4,3,2,3,4,3
2,3,3,3,4,4,3,3,3,3,3,3,4,4,5,5,4,5,5,5
1,2,1,2,3,3,2,3,3,2,2,2,2,3,4,4,3,5,5,5
5,4,4,5,4,5,2,3,3,3,5,5,5,5,3,3,4,4,2,4
3,2,2,5,4,4,4,4,4,5,2,2,4,4,4,3,3,3,3,4
4,3,4,5,5,5,4,4,3,3,3,2,4,5,3,3,4,5,3,4
3,4,3,5,4,4,4,3,3,4,4,4,3,4,3,3,4,4,4,4
3,3,3,2,4,3,3,2,4,5,3,5,5,4,4,5,4,4,5,5
4,4,2,3,4,4,3,2,3,2,5,5,5,5,5,5,4,5,5,5
4,3,4,3,4,5,3,4,3,2,5,5,5,5,5,5,4,5,4,4
2,2,2,4,4,5,4,4,3,5,5,1,1,2,3,5,4,4,4,5
3,3,4,5,4,5,1,4,3,3,5,5,5,5,5,5,4,5,5,5
1,2,2,2,4,4,2,2,4,4,5,4,5,4,3,5,2,3,2,2
2,2,2,4,3,3,4,3,4,5,1,1,1,1,5,5,5,5,5,5
1,1,1,3,5,5,4,3,5,5,3,4,5,5,4,4,5,5,3,3
2,2,2,2,5,5,4,3,5,3,4,2,3,2,5,5,3,3,5,5
3,3,3,4,4,3,2,3,3,5,2,2,2,3,4,4,3,3,4,2
2,3,3,5,4,4,3,5,3,4,5,5,5,4,4,4,4,2,5,2
3,4,5,5,4,4,3,4,5,4,5,4,4,4,4,4,4,4,5,4
3,3,3,3,4,3,2,4,4,3,5,5,5,4,4,4,4,3,4,5
3,3,3,4,5,4,4,4,5,4,4,2,3,4,3,4,4,5,4,4
4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,3,4,4,3,2,4,4,2,4,4,5,5,3,3,2,3,3,4
2,1,1,4,4,4,3,2,3,3,4,4,4,4,5,5,4,4,4,5
4,3,3,4,5,4,2,5,4,4,5,5,5,4,4,5,3,5,5,5
3,3,3,3,5,4,3,4,4,5,5,5,5,4,4,3,3,5,5,5
3,5,5,4,5,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5
2,3,4,4,4,4,3,3,4,4,4,4,5,4,5,5,5,5,5,5
5,4,4,4,5,4,3,4,5,4,3,4,3,5,5,5,5,4,4,5
4,5,4,5,3,3,3,5,5,2,5,5,5,5,4,3,4,5,5,5
3,2,2,2,5,5,3,5,4,3,5,5,5,5,5,5,3,5,5,5
3,4,3,4,5,4,3,4,5,5,4,5,5,4,4,4,3,2,2,2
5,4,4,5,5,4,3,4,4,3,5,5,5,4,5,5,5,5,5,5
2,2,2,3,4,4,3,4,4,5,5,5,5,5,5,4,4,4,4,5
4,3,4,4,4,3,1,4,4,3,5,3,5,3,5,5,4,4,3,3
2,2,2,2,3,3,4,3,3,2,4,2,2,2,2,3,3,3,3,2
3,3,3,3,3,3,3,3,3,3,3,5,5,5,3,4,4,4,4,5
3,3,3,3,4,4,3,4,4,3,4,4,5,5,4,4,4,4,4,5
3,3,4,4,4,5,3,4,2,2,5,5,5,5,4,4,4,3,5,5
5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5
